verb instrument Mean role
attract beauty 6.8 ARG3
attract force 1.8 ARG3
attract humour 6.0 ARG3
attract intelligence 5.9 ARG3
attract money 4.8 ARG3
attract scent 5.6 ARG3
call can 1.4 ARGM-MNR
call computer 4.8 ARGM-MNR
call megaphone 3.4 ARGM-MNR
call note 2.7 ARGM-MNR
call paper 2.5 ARGM-MNR
call radio 2.5 ARGM-MNR
call telephone 6.9 ARGM-MNR
call voice 6.8 ARGM-MNR
cure acupuncture 4.0 ARG3
cure food 3.9 ARG3
cure herbs 5.4 ARG3
cure kiss 3.3 ARG3
cure medicine 6.9 ARG3
cure sauna 2.0 ARG3
cure therapy 5.9 ARG3
cut fork 2.5 ARG3
cut knife 6.6 ARG3
cut paper 3.0 ARG3
cut razor 4.6 ARG3
cut saw 5.9 ARG3
cut scissors 7.0 ARG3
cut teeth 3.7 ARG3
dig cup 1.9 ARG2
dig fork 2.5 ARG2
dig hoe 4.4 ARG2
dig pickaxe 4.0 ARG2
dig shovel 6.9 ARG2
dig spade 5.6 ARG2
dig spoon 3.0 ARG2
draw crayon 5.7 ARGM-MNR
draw glue 1.2 ARGM-MNR
draw marker 5.8 ARGM-MNR
draw paper 6.3 ARGM-MNR
draw pen 5.6 ARGM-MNR
draw pencil 6.8 ARGM-MNR
draw stapler 1.2 ARGM-MNR
drink bottle 6.4 ARGM-MNR
drink cup 6.6 ARGM-MNR
drink glass 6.8 ARGM-MNR
drink hands 5.2 ARGM-MNR
drink licorice 2.2 ARGM-MNR
drink mug 6.4 ARGM-MNR
drink spoon 2.1 ARGM-MNR
drink straw 5.0 ARGM-MNR
dust beer 1.1 ARGM-MNR
dust cloth 6.2 ARGM-MNR
dust Kleenex 3.5 ARGM-MNR
dust rag 6.8 ARGM-MNR
dust sock 3.2 ARGM-MNR
dust water 2.9 ARGM-MNR
eat cup 3.3 ARGM-MNR
eat fork 6.7 ARGM-MNR
eat knife 6.3 ARGM-MNR
eat napkin 3.8 ARGM-MNR
eat pliers 1.0 ARGM-MNR
eat spoon 6.3 ARGM-MNR
eat toothpick 2.1 ARGM-MNR
fish bait 6.4 ARGM-MNR
fish harpoon 4.1 ARGM-MNR
fish line 6.7 ARGM-MNR
fish lure 5.9 ARGM-MNR
fish net 5.9 ARGM-MNR
fish pole 6.3 ARGM-MNR
fish rod 6.4 ARGM-MNR
fish stick 2.8 ARGM-MNR
fish yarn 1.7 ARGM-MNR
float air 4.7 ARGM-MNR
float boat 6.4 ARGM-MNR
float canoe 5.8 ARGM-MNR
float chair 1.5 ARGM-MNR
float raft 6.2 ARGM-MNR
float tube 5.3 ARGM-MNR
float wood 3.5 ARGM-MNR
gamble binoculars 1.6 ARGM-MNR
gamble cards 6.6 ARGM-MNR
gamble dice 6.2 ARGM-MNR
gamble money 6.9 ARGM-MNR
gamble newspaper 2.8 ARGM-MNR
gamble wheel 4.2 ARGM-MNR
heat blanket 5.9 ARG2
heat fire 6.1 ARG2
heat furnace 6.7 ARG2
heat microwave 6.3 ARG2
heat oven 6.3 ARG2
heat stove 6.3 ARG2
hit apple 1.8 ARG2
hit bat 5.9 ARG2
hit fist 6.8 ARG2
hit hammer 5.2 ARG2
hit pillow 3.8 ARG2
hit stick 3.8 ARG2
hit towel 2.2 ARG2
hit water 1.7 ARG2
hunt box 2.1 ARGM-MNR
hunt gun 6.7 ARGM-MNR
hunt harpoon 5.2 ARGM-MNR
hunt missile 1.4 ARGM-MNR
hunt net 5.2 ARGM-MNR
hunt rifle 6.7 ARGM-MNR
hunt rocks 1.5 ARGM-MNR
inflate air 6.6 ARGM-MNR
inflate generator 3.5 ARGM-MNR
inflate helium 6.0 ARGM-MNR
inflate lungs 5.7 ARGM-MNR
inflate pump 5.8 ARGM-MNR
inflate smoke 1.9 ARGM-MNR
inflate water 2.8 ARGM-MNR
lock bar 3.1 ARG2
lock deadbolt 6.1 ARG2
lock glue 1.6 ARG2
lock key 6.7 ARG2
lock latch 5.3 ARG2
lock padlock 5.6 ARG2
lock rope 2.2 ARG2
lock tape 1.6 ARG2
measure balance 5.2 ARGM-MNR
measure pencil 3.2 ARGM-MNR
measure protractor 5.1 ARGM-MNR
measure ruler 6.8 ARGM-MNR
measure scale 5.8 ARGM-MNR
measure stick 1.7 ARGM-MNR
measure string 2.8 ARGM-MNR
paint brush 6.8 ARGM-MNR
paint can 5.2 ARGM-MNR
paint paint 7.0 ARGM-MNR
paint rag 3.9 ARGM-MNR
paint roller 6.6 ARGM-MNR
paint sponge 4.5 ARGM-MNR
paint straw 1.4 ARGM-MNR
repair elastic 2.7 ARGM-MNR
repair glue 5.6 ARGM-MNR
repair hammer 6.7 ARGM-MNR
repair saw 4.4 ARGM-MNR
repair screwdriver 6.2 ARGM-MNR
repair shoe 1.5 ARGM-MNR
repair string 3.0 ARGM-MNR
repair tape 5.8 ARGM-MNR
repair wrench 5.8 ARGM-MNR
revive oxygen 6.0 ARGM-MNR
revive respirator 5.6 ARGM-MNR
revive scream 4.0 ARGM-MNR
revive silence 1.1 ARGM-MNR
revive slap 4.7 ARGM-MNR
